step,mujoco_step_times,brax_step_times
346,4.00543212890625e-05,
347,4.076957702636719e-05,
348,3.4809112548828125e-05,
349,4.076957702636719e-05,
350,4.291534423828125e-05,
351,4.100799560546875e-05,
352,4.100799560546875e-05,
353,4.410743713378906e-05,
354,4.792213439941406e-05,
355,4.410743713378906e-05,
356,3.504753112792969e-05,
357,4.291534423828125e-05,
358,3.886222839355469e-05,
359,3.5762786865234375e-05,
360,3.886222839355469e-05,
361,4.38690185546875e-05,
362,4.291534423828125e-05,
363,4.506111145019531e-05,
364,4.1961669921875e-05,
365,4.100799560546875e-05,
366,4.00543212890625e-05,
367,4.076957702636719e-05,
368,4.410743713378906e-05,
369,4.124641418457031e-05,
370,4.506111145019531e-05,
371,4.38690185546875e-05,
372,3.790855407714844e-05,
373,4.291534423828125e-05,
374,3.504753112792969e-05,
375,3.4809112548828125e-05,
376,3.886222839355469e-05,
377,3.910064697265625e-05,
378,4.291534423828125e-05,
379,3.600120544433594e-05,
380,3.361701965332031e-05,
381,0.00012803077697753906,
382,3.695487976074219e-05,
383,3.695487976074219e-05,
384,4.291534423828125e-05,
385,7.081031799316406e-05,
386,4.076957702636719e-05,
387,3.790855407714844e-05,
388,4.1961669921875e-05,
389,4.38690185546875e-05,
390,4.029273986816406e-05,
391,3.695487976074219e-05,
392,4.410743713378906e-05,
393,4.410743713378906e-05,
394,3.790855407714844e-05,
395,4.1961669921875e-05,
396,4.506111145019531e-05,
397,3.719329833984375e-05,
398,4.506111145019531e-05,
399,3.719329833984375e-05,
400,4.506111145019531e-05,
401,4.124641418457031e-05,
402,4.1961669921875e-05,
403,4.291534423828125e-05,
404,4.00543212890625e-05,
405,3.886222839355469e-05,
406,4.1961669921875e-05,
407,3.981590270996094e-05,
408,4.076957702636719e-05,
409,4.100799560546875e-05,
410,4.1961669921875e-05,
411,4.100799560546875e-05,
412,3.981590270996094e-05,
413,4.00543212890625e-05,
414,4.291534423828125e-05,
415,3.600120544433594e-05,
416,3.600120544433594e-05,
417,3.5762786865234375e-05,
418,3.719329833984375e-05,
419,3.600120544433594e-05,
420,3.600120544433594e-05,
421,3.5762786865234375e-05,
422,3.719329833984375e-05,
423,3.600120544433594e-05,
424,3.528594970703125e-05,
425,3.4809112548828125e-05,
426,3.504753112792969e-05,
427,3.504753112792969e-05,
428,3.695487976074219e-05,
429,3.600120544433594e-05,
430,3.5762786865234375e-05,
431,3.719329833984375e-05,
432,3.5762786865234375e-05,
433,3.719329833984375e-05,
434,3.504753112792969e-05,
435,3.695487976074219e-05,
436,3.4809112548828125e-05,
437,4.1961669921875e-05,
438,3.790855407714844e-05,
439,4.601478576660156e-05,
440,5.2928924560546875e-05,
441,4.7206878662109375e-05,
442,4.482269287109375e-05,
443,4.00543212890625e-05,
444,4.100799560546875e-05,
445,4.1961669921875e-05,
446,3.790855407714844e-05,
447,3.600120544433594e-05,
448,3.409385681152344e-05,
449,3.504753112792969e-05,
450,3.5762786865234375e-05,
451,3.62396240234375e-05,
452,3.719329833984375e-05,
453,3.695487976074219e-05,
454,3.790855407714844e-05,
455,3.600120544433594e-05,
456,3.4809112548828125e-05,
457,3.695487976074219e-05,
458,3.5762786865234375e-05,
459,3.528594970703125e-05,
460,4.482269287109375e-05,
461,3.981590270996094e-05,
462,3.4809112548828125e-05,
463,3.504753112792969e-05,
464,3.528594970703125e-05,
465,3.910064697265625e-05,
466,4.315376281738281e-05,
467,4.410743713378906e-05,
468,3.7670135498046875e-05,
469,3.886222839355469e-05,
470,3.409385681152344e-05,
471,3.814697265625e-05,
472,4.100799560546875e-05,
473,3.886222839355469e-05,
474,4.100799560546875e-05,
475,3.504753112792969e-05,
476,4.1961669921875e-05,
477,4.100799560546875e-05,
478,4.100799560546875e-05,
479,3.910064697265625e-05,
480,4.1961669921875e-05,
481,3.504753112792969e-05,
482,3.409385681152344e-05,
483,3.790855407714844e-05,
484,4.100799560546875e-05,
485,3.790855407714844e-05,
486,3.504753112792969e-05,
487,4.100799560546875e-05,
488,3.814697265625e-05,
489,3.886222839355469e-05,
490,3.504753112792969e-05,
491,3.62396240234375e-05,
492,4.410743713378906e-05,
493,3.790855407714844e-05,
494,3.4809112548828125e-05,
495,3.933906555175781e-05,
496,3.719329833984375e-05,
497,3.600120544433594e-05,
498,4.1961669921875e-05,
499,4.76837158203125e-05,
500,3.790855407714844e-05,
501,3.886222839355469e-05,
502,3.6716461181640625e-05,
503,3.600120544433594e-05,
504,3.5762786865234375e-05,
505,3.62396240234375e-05,
506,3.4809112548828125e-05,
507,3.504753112792969e-05,
508,4.1961669921875e-05,
509,3.62396240234375e-05,
510,3.504753112792969e-05,
511,3.62396240234375e-05,
512,4.1961669921875e-05,
513,3.814697265625e-05,
514,3.504753112792969e-05,
515,3.62396240234375e-05,
516,3.504753112792969e-05,
517,3.695487976074219e-05,
518,3.719329833984375e-05,
519,3.5762786865234375e-05,
520,3.62396240234375e-05,
521,3.695487976074219e-05,
522,3.600120544433594e-05,
523,4.9114227294921875e-05,
524,4.601478576660156e-05,
525,3.933906555175781e-05,
526,4.100799560546875e-05,
527,4.100799560546875e-05,
528,4.220008850097656e-05,
529,3.695487976074219e-05,
530,4.076957702636719e-05,
531,4.100799560546875e-05,
532,4.100799560546875e-05,
533,3.695487976074219e-05,
534,3.4809112548828125e-05,
535,4.315376281738281e-05,
536,0.0001480579376220703,
537,5.173683166503906e-05,
538,4.291534423828125e-05,
539,3.981590270996094e-05,
540,4.100799560546875e-05,
541,3.62396240234375e-05,
542,3.886222839355469e-05,
543,4.267692565917969e-05,
544,3.600120544433594e-05,
545,3.504753112792969e-05,
546,3.886222839355469e-05,
547,3.790855407714844e-05,
548,3.62396240234375e-05,
549,3.695487976074219e-05,
550,4.220008850097656e-05,
551,3.886222839355469e-05,
552,5.1021575927734375e-05,
553,3.4809112548828125e-05,
554,3.504753112792969e-05,
555,3.504753112792969e-05,
556,3.695487976074219e-05,
557,3.504753112792969e-05,
558,3.504753112792969e-05,
559,3.361701965332031e-05,
560,3.719329833984375e-05,
561,4.1961669921875e-05,
562,4.100799560546875e-05,
563,4.00543212890625e-05,
564,4.100799560546875e-05,
565,3.910064697265625e-05,
566,4.291534423828125e-05,
567,3.5762786865234375e-05,
568,3.409385681152344e-05,
569,3.695487976074219e-05,
570,4.029273986816406e-05,
571,3.695487976074219e-05,
572,3.695487976074219e-05,
573,4.506111145019531e-05,
574,4.100799560546875e-05,
575,3.504753112792969e-05,
576,3.4809112548828125e-05,
577,3.409385681152344e-05,
578,3.504753112792969e-05,
579,3.62396240234375e-05,
580,3.4809112548828125e-05,
581,3.504753112792969e-05,
582,3.504753112792969e-05,
583,3.409385681152344e-05,
584,3.5762786865234375e-05,
585,3.719329833984375e-05,
586,3.409385681152344e-05,
587,3.790855407714844e-05,
588,7.82012939453125e-05,
589,4.506111145019531e-05,
590,3.981590270996094e-05,
591,3.910064697265625e-05,
592,0.00011491775512695312,
593,4.506111145019531e-05,
594,3.886222839355469e-05,
595,3.790855407714844e-05,
596,3.62396240234375e-05,
597,3.504753112792969e-05,
598,3.910064697265625e-05,
599,4.100799560546875e-05,
600,3.6716461181640625e-05,
601,4.410743713378906e-05,
602,3.695487976074219e-05,
603,3.600120544433594e-05,
604,3.695487976074219e-05,
605,3.695487976074219e-05,
606,4.1961669921875e-05,
607,4.100799560546875e-05,
608,3.790855407714844e-05,
609,4.220008850097656e-05,
610,4.1961669921875e-05,
611,4.076957702636719e-05,
612,3.981590270996094e-05,
613,4.00543212890625e-05,
614,3.4809112548828125e-05,
615,4.506111145019531e-05,
616,3.62396240234375e-05,
617,4.1961669921875e-05,
618,3.3855438232421875e-05,
619,4.029273986816406e-05,
620,3.719329833984375e-05,
621,6.699562072753906e-05,
622,3.886222839355469e-05,
623,4.00543212890625e-05,
624,4.1961669921875e-05,
625,3.910064697265625e-05,
626,3.981590270996094e-05,
627,3.7670135498046875e-05,
628,3.790855407714844e-05,
629,3.910064697265625e-05,
630,3.504753112792969e-05,
631,3.7670135498046875e-05,
632,4.506111145019531e-05,
633,4.1961669921875e-05,
634,3.790855407714844e-05,
635,4.601478576660156e-05,
636,4.100799560546875e-05,
637,4.315376281738281e-05,
638,4.100799560546875e-05,
639,3.409385681152344e-05,
640,3.600120544433594e-05,
641,3.4809112548828125e-05,
642,3.719329833984375e-05,
643,3.719329833984375e-05,
644,3.3855438232421875e-05,
645,3.3855438232421875e-05,
646,3.600120544433594e-05,
647,3.504753112792969e-05,
648,3.3855438232421875e-05,
649,3.4809112548828125e-05,
650,3.504753112792969e-05,
651,3.409385681152344e-05,
652,3.409385681152344e-05,
653,3.695487976074219e-05,
654,3.62396240234375e-05,
655,3.3855438232421875e-05,
656,3.504753112792969e-05,
657,3.504753112792969e-05,
658,3.504753112792969e-05,
659,3.3855438232421875e-05,
660,3.719329833984375e-05,
661,3.504753112792969e-05,
662,4.1961669921875e-05,
663,3.504753112792969e-05,
664,3.504753112792969e-05,
665,3.5762786865234375e-05,
666,3.62396240234375e-05,
667,3.504753112792969e-05,
668,3.5762786865234375e-05,
669,3.62396240234375e-05,
670,4.100799560546875e-05,
671,4.00543212890625e-05,
672,3.409385681152344e-05,
673,4.38690185546875e-05,
674,4.100799560546875e-05,
675,4.935264587402344e-05,
676,4.267692565917969e-05,
677,4.00543212890625e-05,
678,3.62396240234375e-05,
679,3.886222839355469e-05,
680,3.62396240234375e-05,
681,3.600120544433594e-05,
682,3.4809112548828125e-05,
683,3.62396240234375e-05,
684,3.695487976074219e-05,
685,4.1961669921875e-05,
686,3.409385681152344e-05,
687,3.4809112548828125e-05,
688,3.504753112792969e-05,
689,3.62396240234375e-05,
690,4.100799560546875e-05,
691,3.886222839355469e-05,
692,0.00010275840759277344,
693,5.3882598876953125e-05,
694,4.291534423828125e-05,
695,4.7206878662109375e-05,
696,3.695487976074219e-05,
697,3.814697265625e-05,
698,5.0067901611328125e-05,
699,4.315376281738281e-05,
700,4.7206878662109375e-05,
701,4.601478576660156e-05,
702,3.790855407714844e-05,
703,4.291534423828125e-05,
704,4.410743713378906e-05,
705,4.076957702636719e-05,
706,4.315376281738281e-05,
707,4.410743713378906e-05,
708,4.506111145019531e-05,
709,4.1961669921875e-05,
710,4.1961669921875e-05,
711,4.291534423828125e-05,
712,4.601478576660156e-05,
713,3.933906555175781e-05,
714,4.1961669921875e-05,
715,3.790855407714844e-05,
716,3.695487976074219e-05,
717,3.981590270996094e-05,
718,3.504753112792969e-05,
719,3.5762786865234375e-05,
720,3.719329833984375e-05,
721,3.695487976074219e-05,
722,3.910064697265625e-05,
723,4.100799560546875e-05,
724,4.1961669921875e-05,
725,4.100799560546875e-05,
726,3.5762786865234375e-05,
727,4.696846008300781e-05,
728,4.291534423828125e-05,
729,4.410743713378906e-05,
730,3.790855407714844e-05,
731,3.814697265625e-05,
732,3.5762786865234375e-05,
733,3.933906555175781e-05,
734,3.600120544433594e-05,
735,3.504753112792969e-05,
736,3.4809112548828125e-05,
737,3.814697265625e-05,
738,3.600120544433594e-05,
739,3.814697265625e-05,
740,3.504753112792969e-05,
741,3.504753112792969e-05,
742,3.790855407714844e-05,
743,3.600120544433594e-05,
744,3.4809112548828125e-05,
745,3.600120544433594e-05,
746,3.504753112792969e-05,
747,3.528594970703125e-05,
748,4.363059997558594e-05,
749,4.076957702636719e-05,
750,4.100799560546875e-05,
751,3.981590270996094e-05,
752,4.315376281738281e-05,
753,4.00543212890625e-05,
754,4.1961669921875e-05,
755,4.38690185546875e-05,
756,4.410743713378906e-05,
757,4.291534423828125e-05,
758,4.100799560546875e-05,
759,4.029273986816406e-05,
760,4.315376281738281e-05,
761,3.504753112792969e-05,
762,4.076957702636719e-05,
763,3.886222839355469e-05,
764,3.695487976074219e-05,
765,4.00543212890625e-05,
766,5.1975250244140625e-05,
767,4.291534423828125e-05,
768,3.933906555175781e-05,
769,4.124641418457031e-05,
770,3.719329833984375e-05,
771,3.886222839355469e-05,
772,3.790855407714844e-05,
773,3.981590270996094e-05,
774,4.076957702636719e-05,
775,4.1961669921875e-05,
776,4.363059997558594e-05,
777,3.814697265625e-05,
778,3.933906555175781e-05,
779,4.506111145019531e-05,
780,4.291534423828125e-05,
781,4.00543212890625e-05,
782,3.790855407714844e-05,
783,4.1961669921875e-05,
784,4.1961669921875e-05,
785,3.62396240234375e-05,
786,4.6253204345703125e-05,
787,4.1961669921875e-05,
788,3.814697265625e-05,
789,4.100799560546875e-05,
790,4.601478576660156e-05,
791,4.100799560546875e-05,
792,4.124641418457031e-05,
793,3.719329833984375e-05,
794,4.291534423828125e-05,
795,4.100799560546875e-05,
796,4.029273986816406e-05,
797,4.1961669921875e-05,
798,3.814697265625e-05,
799,3.695487976074219e-05,
800,4.1961669921875e-05,
801,4.291534423828125e-05,
802,4.291534423828125e-05,
803,4.220008850097656e-05,
804,3.695487976074219e-05,
805,3.719329833984375e-05,
806,4.1961669921875e-05,
807,3.600120544433594e-05,
808,4.220008850097656e-05,
809,5.2928924560546875e-05,
810,4.38690185546875e-05,
811,3.886222839355469e-05,
812,3.5762786865234375e-05,
813,4.076957702636719e-05,
814,3.5762786865234375e-05,
815,3.719329833984375e-05,
816,3.695487976074219e-05,
817,4.291534423828125e-05,
818,3.600120544433594e-05,
819,3.504753112792969e-05,
820,3.695487976074219e-05,
821,3.600120544433594e-05,
822,3.600120544433594e-05,
823,3.814697265625e-05,
824,3.4809112548828125e-05,
825,4.220008850097656e-05,
826,3.62396240234375e-05,
827,3.933906555175781e-05,
828,3.4809112548828125e-05,
829,4.410743713378906e-05,
830,3.504753112792969e-05,
831,4.00543212890625e-05,
832,4.315376281738281e-05,
833,4.291534423828125e-05,
834,4.029273986816406e-05,
835,4.124641418457031e-05,
836,3.933906555175781e-05,
837,4.315376281738281e-05,
838,3.981590270996094e-05,
839,3.814697265625e-05,
840,3.933906555175781e-05,
841,3.933906555175781e-05,
842,4.00543212890625e-05,
843,4.220008850097656e-05,
844,0.00011706352233886719,
845,0.00010013580322265625,
846,4.410743713378906e-05,
847,4.1961669921875e-05,
848,3.981590270996094e-05,
849,3.790855407714844e-05,
850,3.910064697265625e-05,
851,4.38690185546875e-05,
852,3.886222839355469e-05,
853,3.600120544433594e-05,
854,3.814697265625e-05,
855,4.00543212890625e-05,
856,4.38690185546875e-05,
857,4.315376281738281e-05,
858,4.7206878662109375e-05,
859,4.315376281738281e-05,
860,3.6716461181640625e-05,
861,3.504753112792969e-05,
862,3.600120544433594e-05,
863,3.695487976074219e-05,
864,3.5762786865234375e-05,
865,3.719329833984375e-05,
866,3.695487976074219e-05,
867,3.790855407714844e-05,
868,3.719329833984375e-05,
869,3.5762786865234375e-05,
870,3.504753112792969e-05,
871,3.528594970703125e-05,
872,3.4809112548828125e-05,
873,3.504753112792969e-05,
874,3.790855407714844e-05,
875,3.695487976074219e-05,
876,3.528594970703125e-05,
877,4.291534423828125e-05,
878,4.410743713378906e-05,
879,4.220008850097656e-05,
880,3.409385681152344e-05,
881,3.4809112548828125e-05,
882,4.291534423828125e-05,
883,3.62396240234375e-05,
884,3.600120544433594e-05,
885,3.6716461181640625e-05,
886,3.695487976074219e-05,
887,3.600120544433594e-05,
888,3.409385681152344e-05,
889,3.4809112548828125e-05,
890,4.601478576660156e-05,
891,0.00012803077697753906,
892,5.1975250244140625e-05,
893,4.601478576660156e-05,
894,4.410743713378906e-05,
895,3.981590270996094e-05,
896,4.482269287109375e-05,
897,3.719329833984375e-05,
898,4.1961669921875e-05,
899,4.38690185546875e-05,
900,3.600120544433594e-05,
901,4.1961669921875e-05,
902,3.6716461181640625e-05,
903,3.886222839355469e-05,
904,4.100799560546875e-05,
905,4.029273986816406e-05,
906,4.100799560546875e-05,
907,4.410743713378906e-05,
908,4.291534423828125e-05,
909,3.719329833984375e-05,
910,4.029273986816406e-05,
911,4.315376281738281e-05,
912,4.076957702636719e-05,
913,5.125999450683594e-05,
914,4.601478576660156e-05,
915,4.410743713378906e-05,
916,4.100799560546875e-05,
917,4.100799560546875e-05,
918,3.504753112792969e-05,
919,4.1961669921875e-05,
920,3.910064697265625e-05,
921,4.38690185546875e-05,
922,4.410743713378906e-05,
923,4.124641418457031e-05,
924,4.291534423828125e-05,
925,3.981590270996094e-05,
926,3.695487976074219e-05,
927,3.6716461181640625e-05,
928,3.695487976074219e-05,
929,4.9114227294921875e-05,
930,3.600120544433594e-05,
931,4.220008850097656e-05,
932,4.124641418457031e-05,
933,4.315376281738281e-05,
934,4.506111145019531e-05,
935,4.482269287109375e-05,
936,4.410743713378906e-05,
937,4.410743713378906e-05,
938,4.100799560546875e-05,
939,4.124641418457031e-05,
940,4.38690185546875e-05,
941,4.1961669921875e-05,
942,4.410743713378906e-05,
943,4.506111145019531e-05,
944,3.910064697265625e-05,
945,3.6716461181640625e-05,
946,4.291534423828125e-05,
947,3.814697265625e-05,
948,3.600120544433594e-05,
949,4.6253204345703125e-05,
950,4.315376281738281e-05,
951,4.315376281738281e-05,
952,4.291534423828125e-05,
953,3.886222839355469e-05,
954,3.504753112792969e-05,
955,4.291534423828125e-05,
956,3.62396240234375e-05,
957,3.62396240234375e-05,
958,3.3855438232421875e-05,
959,3.504753112792969e-05,
960,3.695487976074219e-05,
961,3.600120544433594e-05,
962,4.124641418457031e-05,
963,4.00543212890625e-05,
964,4.410743713378906e-05,
