episode,instance_0_reward,instance_1_reward
430,1357.2400124556398,3943.298935420811
431,1207.5777784612678,3967.8516231419053
432,1162.0830286226774,3916.5587511882186
433,1186.9240143188163,4018.1581960245967
434,1269.0487659961732,3918.0196042582393
435,1240.214453396639,3915.5084184836596
436,1134.3257698312866,3882.0247060656548
437,1244.119043842095,3976.5017923489213
438,1209.8653000408915,3978.1429899409413
439,1220.5842866933965,4092.5965385623276
440,1266.6285111532816,3912.626431779936
441,1184.2112780877146,3984.826830521226
442,1213.6959078741643,3695.4271456077695
443,1233.5743549370998,3892.3140313625336
444,1314.4476875546245,3991.3166944123805
445,1275.5729589429193,4041.8185858875513
446,1324.4112605196897,3936.702401915565
447,1247.8324194847737,3944.8642137851566
448,1283.466166748499,3966.7928211493418
449,1242.8099509383958,4088.434722099453
450,1195.9760572006599,3967.941355071962
451,1237.4123118237994,4037.9331890940666
452,1291.4634802583137,4098.2040001899
453,1260.5814463672168,4051.8477357402444
454,1458.5692478509818,3967.091339690145
455,1342.5153859672002,4092.593791333027
456,1313.279085610429,3822.46186112985
457,1356.839420323727,4107.698069293052
458,1378.072962595993,4008.7134457360953
459,1210.4290365594888,4042.4402888263576
460,1171.2252859706646,3975.60286956653
461,1260.5302913812666,3923.421735163778
462,1252.8139100916953,4055.5377317201346
463,1208.3327255533488,4002.5999497659504
464,1224.159388299524,4004.6589700058103
465,1265.3604738649399,4117.586498193443
466,1176.7305260676944,3724.414081387222
467,1199.8163659266654,4047.746374003589
468,1240.9067812259239,3902.732391819358
469,1326.9430288718027,4017.992814194411
470,1331.2177272713989,4122.7475874722
471,1222.4659769124978,4113.862654596567
472,1278.890728402801,3967.1542169315508
473,1301.9484378633058,4140.640040006489
474,1342.038700473734,4216.508491821587
475,1296.8906695150683,4150.8776103090495
476,1315.9147884681927,3988.1061783935875
477,1364.8014169807782,3867.4241213249043
478,1339.2175431250773,4129.925014098175
479,1346.2958571074605,3923.8019811627455
480,1278.7337866518978,3879.4122631717473
481,1364.3769586536582,4107.330004783347
482,1322.7381876199993,3861.7849661353976
483,1306.2854405972143,4015.0144034177065
484,1281.2534723753506,4228.891657143831
485,1240.4596417713783,4115.240305118263
486,1337.3844070542202,3985.480258397758
487,1350.8942951937247,3928.7232506941073
488,1258.7347977362795,3924.778202308342
489,1363.9040467281648,3977.4174490608275
490,1321.6827340561474,4076.3727797158062
491,1283.7688169875473,4087.017530437908
492,1212.6155950780744,3873.2238971357
493,1211.2852988894904,4197.3436397966
494,1242.5444872910045,4107.023513857275
495,1266.1176196516965,3957.23155207932
496,1249.737130466915,3975.684204854071
497,1247.6071504954546,3956.537152700126
498,1254.4872080542164,3940.8189890012145
499,1215.8170297766842,3918.9807823821902
