step,mujoco_step_times,brax_step_times
497,7.200241088867188e-05,
498,5.793571472167969e-05,
499,5.817413330078125e-05,
500,0.00013208389282226562,
501,8.988380432128906e-05,
502,6.866455078125e-05,
503,6.413459777832031e-05,
504,6.29425048828125e-05,
505,6.103515625e-05,
506,6.4849853515625e-05,
507,6.198883056640625e-05,
508,6.4849853515625e-05,
509,6.604194641113281e-05,
510,5.7697296142578125e-05,
511,0.0002880096435546875,
512,7.200241088867188e-05,
513,6.079673767089844e-05,
514,5.984306335449219e-05,
515,5.888938903808594e-05,
516,5.888938903808594e-05,
517,5.91278076171875e-05,
518,6.008148193359375e-05,
519,5.91278076171875e-05,
520,6.008148193359375e-05,
521,5.817413330078125e-05,
522,5.984306335449219e-05,
523,5.888938903808594e-05,
524,6.103515625e-05,
525,6.008148193359375e-05,
526,5.793571472167969e-05,
527,5.91278076171875e-05,
528,5.984306335449219e-05,
529,5.888938903808594e-05,
530,6.079673767089844e-05,
531,5.888938903808594e-05,
532,5.817413330078125e-05,
533,6.031990051269531e-05,
534,5.984306335449219e-05,
535,5.888938903808594e-05,
536,5.7697296142578125e-05,
537,5.91278076171875e-05,
538,5.793571472167969e-05,
539,5.888938903808594e-05,
540,5.793571472167969e-05,
541,5.817413330078125e-05,
542,5.888938903808594e-05,
543,5.8650970458984375e-05,
544,5.91278076171875e-05,
545,6.222724914550781e-05,
546,6.29425048828125e-05,
547,5.984306335449219e-05,
548,5.91278076171875e-05,
549,5.817413330078125e-05,
550,5.793571472167969e-05,
551,5.793571472167969e-05,
552,5.817413330078125e-05,
553,5.888938903808594e-05,
554,6.103515625e-05,
555,5.7697296142578125e-05,
556,0.0007040500640869141,
557,0.00023031234741210938,
558,0.00017905235290527344,
559,0.00025010108947753906,
560,0.0001747608184814453,
561,6.794929504394531e-05,
562,6.29425048828125e-05,
563,5.888938903808594e-05,
564,6.079673767089844e-05,
565,5.984306335449219e-05,
566,5.888938903808594e-05,
567,5.91278076171875e-05,
568,5.91278076171875e-05,
569,5.888938903808594e-05,
570,5.793571472167969e-05,
571,5.91278076171875e-05,
572,5.91278076171875e-05,
573,5.888938903808594e-05,
574,5.888938903808594e-05,
575,5.888938903808594e-05,
576,5.698204040527344e-05,
577,5.888938903808594e-05,
578,5.793571472167969e-05,
579,5.888938903808594e-05,
580,5.91278076171875e-05,
581,5.5789947509765625e-05,
582,5.698204040527344e-05,
583,5.4836273193359375e-05,
584,5.817413330078125e-05,
585,5.91278076171875e-05,
586,5.793571472167969e-05,
587,6.008148193359375e-05,
588,5.793571472167969e-05,
589,5.698204040527344e-05,
590,5.817413330078125e-05,
591,5.698204040527344e-05,
592,5.793571472167969e-05,
593,5.817413330078125e-05,
594,5.91278076171875e-05,
595,5.698204040527344e-05,
596,5.698204040527344e-05,
597,5.817413330078125e-05,
598,6.008148193359375e-05,
599,5.793571472167969e-05,
600,5.984306335449219e-05,
601,5.888938903808594e-05,
602,6.413459777832031e-05,
603,6.079673767089844e-05,
604,5.698204040527344e-05,
605,5.817413330078125e-05,
606,5.698204040527344e-05,
607,5.698204040527344e-05,
608,5.698204040527344e-05,
609,5.793571472167969e-05,
610,5.817413330078125e-05,
611,6.318092346191406e-05,
612,5.91278076171875e-05,
613,5.698204040527344e-05,
614,5.793571472167969e-05,
615,5.888938903808594e-05,
616,6.127357482910156e-05,
617,6.031990051269531e-05,
618,5.817413330078125e-05,
619,5.793571472167969e-05,
620,5.7220458984375e-05,
621,6.222724914550781e-05,
622,5.936622619628906e-05,
623,6.508827209472656e-05,
624,6.079673767089844e-05,
625,5.817413330078125e-05,
626,6.127357482910156e-05,
627,6.794929504394531e-05,
628,6.318092346191406e-05,
629,5.91278076171875e-05,
630,6.413459777832031e-05,
631,5.91278076171875e-05,
632,5.91278076171875e-05,
633,5.793571472167969e-05,
634,5.888938903808594e-05,
635,5.793571472167969e-05,
636,5.7220458984375e-05,
637,5.984306335449219e-05,
638,5.888938903808594e-05,
639,5.984306335449219e-05,
640,5.7220458984375e-05,
641,5.7697296142578125e-05,
642,5.7220458984375e-05,
643,5.91278076171875e-05,
644,5.817413330078125e-05,
645,5.888938903808594e-05,
646,5.888938903808594e-05,
647,5.602836608886719e-05,
648,5.817413330078125e-05,
649,5.984306335449219e-05,
650,5.6743621826171875e-05,
651,5.817413330078125e-05,
652,5.602836608886719e-05,
653,5.698204040527344e-05,
654,5.7220458984375e-05,
655,6.008148193359375e-05,
656,5.6743621826171875e-05,
657,5.817413330078125e-05,
658,6.222724914550781e-05,
659,6.127357482910156e-05,
660,5.793571472167969e-05,
661,5.698204040527344e-05,
662,5.626678466796875e-05,
663,6.031990051269531e-05,
664,6.103515625e-05,
665,5.6743621826171875e-05,
666,5.817413330078125e-05,
667,6.127357482910156e-05,
668,6.008148193359375e-05,
669,6.008148193359375e-05,
670,5.984306335449219e-05,
671,5.7697296142578125e-05,
672,5.6743621826171875e-05,
673,6.103515625e-05,
